"plot","block","diversity","biomass"
1,1,4.41850761789829,49.2603371027895
2,1,5.52429010998458,53.3325546727478
3,1,9.22020246065222,77.1637815042038
1,2,5.53570607560687,6.27256916345554
2,2,2.75118370959535,9.67667645896486
3,2,4.70114117884077,10.1547483347749
3,3,2.67245443351567,35.0878939025052
1,4,2.77274278388359,36.8669516943422
2,4,1.89140775799751,32.6177563309277
3,4,4.40901661082171,46.931530429872
1,5,3.50000730459578,14.6406304280933
2,5,7.77235319465399,18.0243414087775
3,5,2.14699258003384,12.1820288123922
1,6,5.53487510839477,38.9325636026514
2,6,1.86771184531972,25.7929805827193
3,6,4.27702639391646,35.422116784775
1,7,9.48819035361521,45.8885821464202
2,7,8.35343405092135,40.8558891247822
3,7,5.17821478517726,32.7728639869202
1,8,4.29347986658104,31.9926676413941
2,8,9.45537207624875,24.1092022882558
3,8,4.20070986542851,27.696795217775
1,9,2.23359396774322,11.6927396197707
2,9,1.43061499483883,7.55486757068033
3,9,8.0681911574211,22.1350047797647
1,10,6.75740189198405,42.5917979944866
2,10,9.87818071129732,53.4710609831894
3,10,6.48371581779793,39.6390081310496
