Year,Plot,NumSp,C3,C4,Forb,Legume,Woody,AbvBio
1996,2,1,0,0,0,1,0,63.342
1996,3,4,0,1,1,0,0,35.167
1996,5,1,0,1,0,0,0,171.467
1996,6,2,0,1,0,0,0,63.508
1996,9,16,1,1,1,1,1,181.908
1996,11,1,0,0,1,0,0,109.092
1996,12,8,1,1,1,1,0,217.733
1996,14,2,0,0,1,0,0,12.067
1996,15,8,1,0,1,1,1,72.542
1996,16,1,0,0,1,0,0,29.25
1996,22,8,1,0,1,1,1,100.217
1996,24,4,1,1,1,0,0,67.425
1996,26,4,1,1,0,1,0,135.55
1996,27,16,1,1,1,1,1,167.158
1996,28,4,0,0,0,1,1,63.05
1996,29,1,0,0,0,1,0,103.55
1996,30,16,1,1,1,1,1,74.175
1996,31,1,0,1,0,0,0,195
1996,32,2,0,1,0,0,1,34.683
1996,33,4,1,1,1,1,0,57.933
1996,34,16,1,1,1,1,1,61.817
1996,35,16,1,1,1,1,1,297.133
1996,44,4,0,1,1,1,0,25.166
1996,45,4,0,1,1,1,1,29.725
1996,46,16,1,1,1,1,1,120.175
1996,48,2,1,0,0,1,0,129.625
1996,50,8,1,0,1,1,1,131.467
1996,53,4,1,1,0,1,1,143.875
1996,56,2,0,1,0,1,0,93.617
1996,57,8,1,1,1,1,0,252.742
1996,58,4,1,1,1,0,0,130.041
1996,62,4,1,0,0,1,1,196.992
1996,67,8,1,1,1,1,1,227.558
1996,68,16,1,1,1,1,1,210.442
1996,70,4,0,1,1,1,0,488.733
1996,73,2,0,0,1,0,1,97.409
1996,74,8,1,1,1,1,1,161.275
1996,75,2,0,1,1,0,0,122.4
1996,81,8,1,1,1,1,0,98.967
1996,82,16,1,1,1,1,1,360.275
1996,87,1,0,1,0,0,0,109.017
1996,89,16,1,1,1,1,1,159.367
1996,92,1,0,1,0,0,0,128.192
1996,93,4,1,0,0,1,0,87
1996,94,1,0,0,0,1,0,140.05
1996,98,8,1,1,1,1,1,160.025
1996,104,8,1,1,1,1,1,135.542
1996,107,16,1,1,1,1,1,113.008
1996,108,16,1,1,1,1,1,101.442
1996,110,4,1,1,0,1,0,170.533
1996,111,8,1,0,1,1,1,34.2
1996,115,8,1,1,1,0,1,67.708
1996,117,2,0,0,1,1,0,95.125
1996,118,8,1,1,1,1,1,81.742
1996,125,2,0,1,0,1,0,126.575
1996,127,2,0,0,0,1,1,71.709
1996,129,1,0,0,1,0,0,45.883
1996,130,8,1,1,1,1,1,178.825
1996,133,4,0,1,1,1,0,171.433
1996,135,1,0,1,0,0,0,148.45
1996,136,16,1,1,1,1,1,289.483
1996,137,1,0,0,0,1,0,72.692
1996,138,4,1,0,1,0,0,228.317
1996,139,4,1,0,0,1,0,323.017
1996,142,1,1,0,0,0,0,98.242
1996,146,8,1,1,1,1,1,262.892
1996,149,4,0,1,1,1,1,203.517
1996,151,1,0,0,0,0,1,44.325
1996,153,1,1,0,0,0,0,38.133
1996,156,16,1,1,1,1,1,42.792
1996,157,2,1,0,0,0,0,8.583
1996,160,16,1,1,1,1,1,52.833
1996,161,1,0,0,0,0,1,8.058
1996,163,1,0,1,0,0,0,209.417
1996,164,16,1,1,1,1,1,142.842
1996,165,2,1,1,0,0,0,77.592
1996,167,1,0,0,1,0,0,18
1996,168,2,1,1,0,0,0,65.808
1996,169,16,1,1,1,1,1,95.434
1996,170,8,1,0,1,1,1,128.4
1996,171,2,1,0,0,1,0,119.433
1996,174,16,1,1,1,1,1,302.591
1996,175,2,0,1,0,1,0,612.717
1996,176,4,1,1,1,0,0,169.908
1996,177,8,1,1,1,1,1,197.1
1996,178,8,1,1,1,0,0,452.433
1996,185,1,0,0,0,1,0,22.433
1996,186,16,1,1,1,1,1,280.567
1996,189,2,0,1,0,0,1,141.883
1996,190,4,0,0,1,1,1,408.592
1996,193,2,0,1,0,1,0,247.692
1996,197,2,0,1,1,0,0,70.125
1996,199,4,0,1,0,1,1,618.983
1996,201,4,0,1,0,1,1,339.55
1996,202,16,1,1,1,1,0,622.617
1996,205,1,0,0,0,1,0,29.559
1996,206,8,1,1,1,1,0,248.808
1996,208,8,1,1,1,1,0,249.725
1996,210,8,1,1,1,1,0,238.483
1996,211,2,0,0,1,1,0,65.933
1996,213,8,1,1,1,1,1,105.992
1996,220,16,1,1,1,1,1,143.3
1996,221,2,0,0,0,0,1,9.858
1996,223,4,1,0,1,0,1,55.392
1996,224,2,0,1,1,0,0,118.533
1996,225,4,1,1,0,1,1,93.1
1996,227,16,1,1,1,1,1,106.592
1996,229,4,1,1,0,1,0,102.742
1996,232,8,1,1,1,1,1,346.933
1996,233,4,1,0,1,1,1,51.267
1996,234,2,1,0,0,1,0,356.75
1996,235,16,1,1,1,1,1,149.142
1996,236,2,0,1,0,1,0,210.259
1996,237,1,1,0,0,0,0,26.208
1996,239,16,1,1,1,1,1,273.792
1996,242,16,1,1,1,1,1,96.217
1996,253,16,1,1,1,1,1,102.617
1996,255,1,0,0,0,0,1,30.592
1996,256,1,1,0,0,0,0,31.183
1996,257,16,1,1,1,1,1,193.067
1996,259,2,0,1,0,1,0,229.592
1996,265,1,0,0,0,1,0,114.55
1996,266,8,1,1,1,1,1,102.008
1996,267,1,0,0,1,0,0,96.734
1996,268,1,1,0,0,0,0,89.525
1996,272,2,0,0,0,1,1,9.7
1996,273,16,1,1,1,1,1,489.442
1996,278,2,1,1,0,0,0,68.808
1996,280,1,0,1,0,0,0,97.542
1996,282,1,0,1,0,0,0,185.633
1996,283,8,1,1,1,0,0,133.642
1996,286,4,1,1,0,1,0,191.842
1996,287,4,1,1,1,0,0,139.65
1996,290,1,0,0,1,0,0,27.683
1996,291,1,0,0,0,1,0,28.317
1996,292,8,1,1,0,1,0,163.175
1996,293,8,0,1,1,1,1,220.875
1996,296,1,0,0,0,0,1,41.775
1996,299,16,1,1,1,1,1,144.95
1996,300,2,0,1,0,1,0,230.958
1996,301,16,1,1,1,1,1,171.55
1996,302,4,0,0,1,1,1,10.359
1996,303,8,1,0,1,1,0,94.158
1996,304,2,1,0,0,0,0,82.267
1996,307,8,0,1,1,1,1,130.525
1996,308,1,0,0,1,0,0,18.192
1996,311,2,1,1,0,0,0,148.625
1996,313,8,1,0,1,1,1,101.25
1996,318,16,1,1,1,1,1,104.758
1996,322,2,0,1,0,0,1,139.208
1996,324,2,1,0,0,0,0,74.942
1996,325,4,1,1,1,1,0,82.041
1996,328,16,1,1,1,1,1,130.108
1996,329,16,1,1,1,1,1,199.4
1996,330,2,0,1,1,0,0,117.925
1996,331,16,1,1,1,1,1,105.183
1996,333,1,1,0,0,0,0,80.792
1996,334,2,1,1,0,0,0,106.808
1996,335,2,1,0,0,1,0,38.533
1996,336,16,1,1,1,1,1,132.842
1996,338,1,0,0,1,0,0,45.4
1996,339,16,1,1,1,1,1,152.4
1996,342,2,0,0,1,1,0,151.9
1997,2,1,0,0,0,1,0,178.24975
1997,3,4,0,1,1,0,0,65.91675
1997,5,1,0,1,0,0,0,51.625
1997,6,2,0,1,0,0,0,91.47475
1997,9,16,1,1,1,1,1,266.05
1997,11,1,0,0,1,0,0,139.1165
1997,12,8,1,1,1,1,0,219.6665
1997,14,2,0,0,1,0,0,75.0585
1997,15,8,1,0,1,1,1,166.8835
1997,16,1,0,0,1,0,0,91.93325
1997,20,1,0,0,0,1,0,52.125
1997,22,8,1,0,1,1,1,112.49175
1997,24,4,1,1,1,0,0,68.00825
1997,26,4,1,1,0,1,0,111.31675
1997,27,16,1,1,1,1,1,249.5
1997,28,4,0,0,0,1,1,119.567
1997,29,1,0,0,0,1,0,221.15
1997,30,16,1,1,1,1,1,81.725
1997,31,1,0,1,0,0,0,52.03325
1997,32,2,0,1,0,0,1,51.6165
1997,33,4,1,1,1,1,0,89.91675
1997,34,16,1,1,1,1,1,64.025
1997,35,16,1,1,1,1,1,91.94175
